Region;Pays;Code;Year;Population;Urbain %;Rural %;Poulet (Kg/personne);Bœuf (Kg/personne);Poissons (Kg/personne);Autres viandes (Kg/personne);Import poulets (1000 têtes);Export poulets (1000 têtes);Import poulets (tonnes);Export poulets (tonnes);Production / Tonnes;Political_Stability;Rank;PIB_par_habitant ($);Disponibilités de matière grasse (g/personne/jour);Disponibilités protéiques (g/personne/jour)
Eastern Mediterranean;Afghanistan;AFG;2019;37769499;25.754;74.246;1.8100002;2.7600002;0.38000003;3.8000005329999995;9067;1;14671.92;321.65;28324;-2.66;188;497.741429257502;40.4;56.3
Europe;Albania;ALB;2019;2854191;61.229;38.771;12.339987;13.369986;8.419991;16.449982300000002;1146;0;19304.04;0.0;13127;0.11;83;5396.2142432843;114.4;113.0
Africa;Algeria;DZA;2019;42705368;73.189;26.811000000000007;6.56;5.26;3.89;8.49;7183;1;0.09;1343.38;273839;-1.04;163;4021.9832660524;93.1;90.0
Africa;Angola;AGO;2019;32353588;66.177;33.82299999999999;9.699999;4.4299994;14.169999;8.69999962;1181;3;253768.53;452.07;49016;-0.36;123;2191.34776373555;56.8;48.9
Americas;Antigua and Barbuda;ATG;2019;92117;24.506;75.494;65.22505;9.699263;55.225803;8.62934446;3;0;6010.01;4.91;26;0.95;27;18730.0047966374;90.6;81.0
Americas;Argentina;ARG;2019;44938712;91.991;8.009;45.160004;48.010002;6.8500004;17.270001399999998;22;0;5088.79;230513.9;2245959;-0.09;99;9963.67416171662;122.8;111.7
Europe;Armenia;ARM;2019;2820602;63.219;36.781;19.619974;26.129963;5.659992;13.63998125;1630;0;42384.6;0.0;12400;-0.41;126;4828.50488626598;100.2;100.0
Western Pacific;Australia;AUS;2019;25334826;86.124;13.876000000000005;48.910004;25.960001;24.820002;38.68000404;0;1246;1861.6;37364.53;1276267;0.91;32;55049.571919719;159.1;110.4
Europe;Austria;AUT;2019;8879920;58.515;41.485;15.700003;16.220001;14.490002;48.8400103;18034;12104;49650.22;48097.77;131680;0.92;31;50067.5857265892;176.1;108.0
Europe;Azerbaijan;AZE;2019;10024283;56.031;43.969;14.269985;12.4099865;2.0299978;8.8199903;291;0;31159.68;795.88;111996;-0.69;142;4805.75371765917;84.7;95.7
Americas;Bahamas;BHS;2019;404557;83.132;16.867999999999995;51.939613;9.589929;27.329798;30.249775460000002;21;0;19656.72;0.0;6432;0.82;38;32279.0113630465;103.7;78.7
Eastern Mediterranean;Bahrain;BHR;2019;1494188;89.394;10.605999999999995;46.97984;14.0499525;20.75993;24.23991811;11;0;57049.79;318.77;8924;-0.63;141;25869.1129129041;0.0;62.0
South-East Asia;Bangladesh;BGD;2019;165516222;37.405;62.595;1.57;1.22;26.58;1.41;4096;0;29.44;0.76;259664;-0.93;158;2122.07839667492;34.7;60.7
Americas;Barbados;BRB;2019;280180;31.158;68.842;50.117672;14.429331;42.61802;13.449375212;0;56;1030.52;117.61;16419;1.05;17;19063.1022913841;94.8;88.0
Europe;Belarus;BLR;2019;9419758;79.044;20.956000000000003;27.099997;19.239998;11.739998;37.719994945;18745;897;6716.95;168937.01;526700;0.33;72;6837.76832136779;132.6;97.7
Europe;Belgium;BEL;2019;11488980;98.041;1.9590000000000032;12.750002;14.500002;24.350002;34.8000044;144515;148437;219622.99;450224.07;447750;0.47;67;46641.7214017087;173.4;101.7
Americas;Belize;BLZ;2019;389095;45.866;54.134;27.35979;4.7599635;17.899862;25.629803239999998;109;0;62.3;0.0;20664;0.06;87;6134.21523305713;96.1;71.3
Africa;Benin;BEN;2019;12290444;47.861;52.139;9.8099985;3.5099993;16.589996;2.13999957;80;0;73568.87;10147.08;15027;-0.41;127;1170.8859954114;56.2;65.4
South-East Asia;Bhutan;BTN;2019;767459;41.612;58.388;4.119962;9.279916;6.379942;2.18998007;29;0;1373.91;168.67;1226;1.08;14;3564.59877168289;0.0;59.5
Europe;Bosnia and Herzegovina;BIH;2019;3360711;48.626;51.374;20.539951;13.969967;7.209983;11.72997131;34645;4839;7462.22;4018.64;67234;-0.42;128;6094.72482322311;88.8;100.7
Africa;Botswana;BWA;2019;2499702;70.172;29.828000000000003;3.4099932;5.5599885;2.429995;13.91997145;1374;0;3936.41;5.9;1412;1.11;11;6691.16105313603;68.3;70.7
Americas;Brazil;BRA;2019;211782878;86.824;13.176000000000002;46.99;37.06;8.13;15.47;1;22200;5029.95;3951371.51;13693515;-0.71;146;8845.32414932264;134.5;93.7
Europe;Bulgaria;BGR;2019;6975761;75.347;24.653000000000006;22.809978;3.9599965;7.029994;33.48997214;2543;26480;100169.29;29045.28;108851;0.58;56;9874.33632625168;115.8;80.7
Africa;Burkina Faso;BFA;2019;20951639;29.98;70.02;9.750001;6.250001;8.900001;19.83000267;1480;0;102.56;0.0;204000;-1.3;166;765.229560401644;66.1;89.1
Africa;Burundi;BDI;2019;11874838;13.366;86.634;0.5500001;1.3400003;2.6000004;1.77000021;11;0;4.7;0.0;9316;-1.62;176;216.972970900616;15.7;41.0
Africa;Cabo Verde;CPV;2019;577030;66.195;33.80500000000001;24.249706;3.0399632;9.6598835;12.29985153;163;0;11487.59;0.0;605;0.87;35;3903.05031683625;67.5;71.0
Western Pacific;Cambodia;KHM;2019;16207746;23.805;76.195;1.7900004;3.890001;44.91001;5.780001705;91;0;30.92;0.0;27487;-0.09;100;1671.3854000919;37.8;64.7
Africa;Cameroon;CMR;2019;25782341;56.968;43.032;3.3599997;3.2199998;19.289999;5.519999500000001;76;0;294.29;0.0;103002;-1.56;174;1538.68791249516;54.9;72.0
Americas;Canada;CAN;2019;37601230;81.482;18.518;40.77999;26.429996;20.869997;26.21999675;27706;3659;137843.19;89776.5;1506792;1.02;22;46374.1527517191;159.8;106.7
Africa;Central African Republic;CAF;2019;5209324;41.77;58.23;3.0899944;19.159966;6.749988;13.039977100000002;0;0;8869.04;0.0;6309;-2.14;181;426.408753120209;58.6;50.0
Africa;Chad;TCD;2019;16126866;23.279;76.721;0.47000006;26.920004;6.7200007;18.08000312;203;0;1602.71;0.0;6449;-1.34;169;701.621201027424;66.3;77.7
Americas;Chile;CHL;2019;19039485;87.643;12.357;38.53001;28.78001;14.830005;24.21000733;644;0;121880.22;122841.58;769172;0.01;92;14632.6903076927;95.8;92.7
Western Pacific;China;CHN;2019;1407745000;60.308;39.692;14.849999;6.2599998;40.0;41.119999670000006;6493;105;1663862.42;468544.59;22390000;-0.26;112;10143.8602205959;103.2;105.1
Americas;Colombia;COL;2019;50187406;81.104;18.896;36.020004;14.750002;9.020001;11.58000102;1087;855;89583.74;346.05;1693178;-0.95;159;6436.50921529527;90.0;72.7
Africa;Comoros;COM;2019;790986;29.164;70.836;1.319995;3.2899873;18.019932;0.709997296;2;0;231.6;0.0;582;-0.15;103;1510.79732262852;59.7;54.7
Africa;Congo (Democratic Republic of the Congo);COD;2019;89906890;45.046;54.954;1.6499999;0.31999996;4.1599994;2.24999982;58;0;56176.36;0.11;10406;-1.59;175;546.212593203883;24.2;29.7
Africa;Congo, Republic of the;COG;2019;5570733;67.373;32.626999999999995;20.10998;2.2999976;24.229973;15.32998367;285;2315;101613.67;815.7;6858;-0.9;155;2715.24310477161;52.1;52.3
Americas;Costa Rica;CRI;2019;5084532;80.076;19.924000000000007;38.18002;12.420007;17.90001;12.970007005;1266;8897;10692.33;499.12;145000;0.45;68;12669.3411549351;104.3;83.3
Africa;Côte d'Ivoire;CIV;2019;26147551;51.239;48.761;2.8700006;1.3700004;22.570005;7.570002000000001;1591;2;663.74;30.75;74097;-1.03;162;2290.78737894927;50.2;62.0
Americas;Cuba;CUB;2019;11316697;77.109;22.891000000000005;28.840004;8.120001;6.0700006;26.370001300000002;0;0;272208.53;57.02;23000;0.6;54;9139.38051005519;76.3;84.0
Europe;Cyprus;CYP;2019;1228836;66.805;33.19499999999999;30.33;7.89;25.03;44.82;338;0;10908.96;630.62;26850;0.56;58;29420.0;120.8;95.0
South-East Asia;Democratic People's Republic of Korea;PRK;2019;25755441;62.134;37.866;1.9499998;0.80999994;11.609999;11.92999915;0;0;128.07;0.0;43711;-0.32;118;17396.0;38.4;53.3
Europe;Denmark;DNK;2019;5814422;87.994;12.006;25.090004;24.690004;23.150003;24.71000324;2316;64337;37402.39;73268.4;158418;1.0;25;59592.9806886454;142.5;113.3
Americas;Dominica;DMA;2019;71428;70.786;29.214;48.389164;9.897782;23.934639;13.59695426;4;0;3779.39;0.0;367;1.07;15;8561.58701121461;81.4;79.7
Americas;Dominican Republic;DOM;2019;10881882;81.828;18.171999999999997;35.00998;6.559996;8.459995;11.07999383;1865;2752;36375.33;7655.72;354713;0.01;93;8173.34469885261;100.4;68.3
Americas;Ecuador;ECU;2019;17343740;63.986;36.014;18.579998;13.299999;6.6899996;14.31999897;2618;0;0.0;0.0;507524;-0.23;109;6233.25816692363;94.2;62.0
Eastern Mediterranean;Egypt;EGY;2019;105618671;42.73;57.27;15.75;9.14;26.19;1.47;2547;3;35507.97;507.49;1642095;-1.11;165;2531.20007864537;60.7;95.3
Americas;El Salvador;SLV;2019;6280217;72.746;27.254000000000005;25.339993;10.519998;7.249998;4.959998594;5648;12192;12314.07;1005.66;146782;-0.11;101;4280.28840404719;64.7;79.0
Europe;Estonia;EST;2019;1326898;69.051;30.948999999999998;21.740017;7.930006;13.090011;37.900030400000006;7443;28;17807.85;7018.73;20288;0.63;52;23424.4847073518;133.0;103.0
Africa;Eswatini;SWZ;2019;1169613;23.981;76.019;6.899941;16.829855;4.229964;4.38996235;285;874;1766.1;91.09;5690;-0.27;114;3818.54048403065;55.5;60.3
Africa;Ethiopia;ETH;2019;114120594;21.225;78.775;0.49;3.35;0.54;3.14;0;0;154.04;0.0;58324;-1.31;167;840.449601255171;29.3;72.7
Western Pacific;Fiji;FJI;2019;918465;56.75;43.25;39.79991;3.649992;29.349936;9.379979299999999;493;0;4538.83;339.08;34708;0.78;41;5927.72420758285;79.1;76.7
Europe;Finland;FIN;2019;5521606;85.446;14.554000000000002;20.580004;17.910004;31.950006;33.53000634;508;7267;4517.18;11112.55;139090;0.85;36;48629.8582283032;137.3;118.0
Europe;France;FRA;2019;67388001;80.709;19.290999999999997;26.03;23.68;33.68;37.239999999999995;21010;103106;386982.33;245613.3;1659455;0.3;74;40494.8982936276;151.9;115.3
Africa;Gabon;GAB;2019;2242785;89.741;10.259;33.81003;6.0600057;32.48003;22.5500206;248;1;66633.26;0.0;4050;-0.07;97;7523.86228077637;54.6;79.7
Africa;Gambia;GMB;2019;2508883;61.931;38.069;10.509992;3.9299967;24.25998;1.62999865;0;0;24688.87;0.0;1180;0.22;77;722.875356284026;57.0;61.7
Europe;Georgia;GEO;2019;3720161;59.039;40.961;19.319979;7.389992;10.599989;12.1899871;890;412;51682.32;4000.97;22800;-0.49;132;4696.15058555612;77.1;82.7
Europe;Germany;DEU;2019;83092962;77.376;22.623999999999995;17.38;14.489999;13.189999;48.3399998;145190;296964;497106.39;302061.52;1543866;0.57;57;46805.1384334439;160.2;105.0
Africa;Ghana;GHA;2019;31522290;56.707;43.293;7.0299993;1.4099997;24.579996;5.2599992;14474;7;150038.91;0.0;69186;0.13;81;2167.92544000869;42.1;63.4
Europe;Greece;GRC;2019;10721582;79.388;20.611999999999995;25.659985;14.93999;21.409986;38.9599768;8739;5514;53627.73;30858.28;230000;0.18;79;19143.8876174584;156.9;105.7
Americas;Grenada;GRD;2019;122724;36.396;63.604;43.58396;5.7592025;31.005705;16.997645888;20;0;6379.93;0.0;508;0.95;28;9887.92074235834;89.1;74.3
Americas;Guatemala;GTM;2019;16604026;51.439;48.561;25.630001;12.330001;3.5300004;4.510000529999999;11537;3327;130383.62;2425.97;342169;-0.57;137;4647.80754129437;61.1;68.3
Africa;Guinea;GIN;2019;12877539;36.5;63.5;2.6800008;8.870002;11.490003;3.06000054;2213;0;38784.67;24.94;11192;-0.84;151;1043.89988618266;68.8;57.3
Africa;Guinea-Bissau;GNB;2019;1970457;43.777;56.223;3.05;3.66;1.18;8.44;3;0;2834.42;0.0;2967;-0.56;135;730.611432270196;58.7;43.7
Americas;Guyana;GUY;2019;798753;26.689;73.311;49.379322;4.1899424;25.619648;6.56990961;99;0;127.91;0.0;38729;-0.25;111;6477.29672607993;65.7;90.3
Americas;Haiti;HTI;2019;11160438;56.192;43.808;9.819999;4.35;5.0999994;4.929999759999999;2889;0;94655.16;0.0;9216;-0.89;154;1345.4750547884;43.2;46.0
Americas;Honduras;HND;2019;9958829;57.73;42.27;22.729996;6.3599987;4.689999;6.229998984;2004;628;10844.14;719.76;215734;-0.58;139;2519.36618467309;87.9;61.7
Europe;Hungary;HUN;2019;9771141;71.644;28.355999999999995;27.330002;6.1100006;6.2900004;51.72000502;26367;117883;51086.13;112248.68;531680;0.77;43;16786.2136399075;152.5;88.7
